iteration,fitness,x0,x1
0, 0.101535, -0.0256009, -0.0122171
1, 0.47445, -0.043928, -0.0811234
2, 0.101535, -0.0256009, -0.0122171
3, 0.165246, -0.0132959, -0.0398629
4, 0.101535, -0.0256009, -0.0122171
5, 0.0628335, -0.0140519, -0.0125952
6, 0.121102, -0.0268623, -0.0187797
7, 0.0662908, -0.0168251, -0.0103778
8, 0.0691692, -0.0178123, -0.0101624
9, 0.104885, -0.0222565, -0.0188024
10, 0.100465, -0.0143336, -0.0241898
11, 0.0694801, 0.0163915, 0.0124546
12, 0.0980504, -0.00434717, -0.0272144
13, 0.0641332, 0.0163191, 0.0101334
14, 0.0775952, 0.0190195, 0.0122624
15, 0.0906173, 0.0243015, 0.00867078
16, 0.10881, 0.0299224, 0.00263441
17, 0.108727, -0.0111986, -0.0278485
18, 0.0429245, -0.0108671, -0.00795906
19, 0.0398168, -0.0114333, -0.00526526
20, 0.0470157, -0.0134999, -0.00559888
21, 0.0437214, -0.0130198, -0.0042463
22, 0.0463926, -0.0136718, -0.00465288
23, 0.0315011, -0.000644562, -0.0101448
24, 0.0287245, -0.00929798, -0.000838421
25, 0.0254482, -0.00689835, -0.00469132
26, 0.0255887, -0.00428681, -0.00720672
27, 0.0297782, -0.00762044, -0.00592321
28, 0.032464, -0.0102649, -0.00196077
29, 0.00525061, 0.00172353, 0.000600108
30, 0.0047805, -0.00116339, -0.00118984
31, 0.00444988, 0.00068261, 0.0013923
32, 0.00224352, -0.000389755, 0.000684132
33, 0.00547836, -0.000717223, -0.00176246
34, 0.00422922, -0.000953038, 0.00112548
35, 0.0100422, 0.00331827, 0.000903611
36, 0.00492128, -0.000523206, 0.00163044
37, 0.00231295, 0.000351826, 0.000731324
38, 0.00780732, 0.000804908, -0.00256893
39, 0.00102251, 0.000329065, -0.00014671
40, 0.0018558, -0.000432839, -0.000487762
41, 0.00522992, 0.00170376, -0.000634126
42, 0.00838553, 0.00261007, 0.0012322
43, 0.00825389, -0.00246304, -0.00141817
44, 0.0068531, 0.00121981, 0.00203205
45, 0.0042021, 0.00146465, 4.83223e-05
46, 0.00199292, 0.000165827, -0.000680064
47, 0.00389975, 0.000715943, -0.00115785
48, 0.00266566, 0.000395309, -0.00084648
49, 0.00690207, 0.00235714, 0.000374028
50, 0.00304288, 0.000607085, -0.000875198
51, 0.00127031, 0.000445472, -3.97375e-05
52, 0.00535654, -0.000718614, -0.00171689
53, 0.00600967, -0.000566361, -0.00200542
54, 0.00269369, -0.000325406, -0.000886112
55, 0.00678828, -0.000487928, -0.00229686
56, 0.00536303, -0.00183023, 0.000350178
57, 0.00229389, -0.00070176, -0.000394233
58, 0.00144155, 0.000459468, -0.000214903
59, 0.002125, -0.000308023, 0.000679507
60, 0.0028197, 0.000987601, 1.60214e-05
61, 0.000793977, -0.000258139, 0.0001084
62, 0.000533806, -0.000127987, -0.000138245
63, 0.000864675, -0.000304829, -1.72283e-06
64, 0.00321696, -0.00106839, -0.000353779
65, 0.00197033, 0.000471692, -0.000506478
66, 0.00279724, 0.000928279, 0.00031395
67, 0.00143388, -0.000156832, 0.000479562
68, 0.000233012, -4.91177e-05, -6.60587e-05
69, 0.00163482, 0.000240197, 0.0005223
70, 0.00121529, 0.000231079, 0.000360195
71, 0.00194286, -0.000147265, -0.000666443
72, 0.000490989, -0.000139093, -0.000103387
73, 0.00235973, 0.000807334, 0.000183113
74, 0.000692244, 0.000242404, 2.94309e-05
75, 0.000887562, -4.15687e-06, -0.000312851
76, 0.00168351, -0.000201768, 0.000556461
77, 0.00236985, -0.000451526, 0.000698059
78, 0.00332817, 0.00112176, 0.000310464
79, 0.00157846, 0.000511934, -0.000214792
80, 0.00324875, 0.000998009, -0.000543589
81, 0.00321049, 0.000828405, 0.000758504
82, 0.00351988, -0.000971403, -0.000754861
83, 0.000494836, -3.10273e-05, 0.000171886
84, 0.00153074, 0.00052113, 0.000135543
85, 0.00143003, -0.000452015, 0.000221135
86, 0.000801632, -0.000247032, 0.00013739
87, 0.00276553, 0.000851654, 0.00046206
88, 0.00213809, 0.000181634, 0.000728317
89, 0.00164495, 0.000537193, -0.000214478
90, 0.000464174, -5.0139e-06, 0.000163781
91, 0.000997328, -0.000350483, -2.60028e-05
92, 0.000865618, 0.00026803, -0.000145898
93, 0.000766206, 0.000201487, -0.000180041
94, 0.00109632, -6.05769e-05, 0.000381421
95, 0.00260723, 0.000558842, 0.000723163
96, 0.000760033, 0.000227704, 0.000141401
97, 0.000703833, -0.000247765, 1.57109e-05
98, 0.000391139, 2.95132e-05, -0.000134919
99, 0.000363849, 0.000118327, -5.00695e-05
