iteration,fitness,x0,x1
0, -559.233, -105.391, 430.044
1, -815.853, -316.544, 512
2, -815.802, -316.491, 512
3, -815.797, -316.487, 512
4, -916.873, 510.485, 408.288
5, -916.88, 510.512, 408.271
6, -916.888, 510.529, 408.264
7, -916.878, 510.51, 408.27
8, -916.906, 510.538, 408.273
9, -916.948, 510.567, 408.289
10, -916.943, 510.549, 408.3
11, -916.927, 510.553, 408.281
12, -916.958, 510.564, 408.301
13, -916.935, 510.546, 408.295
14, -937.399, 512, 399.102
15, -937.389, 512, 399.093
16, -937.377, 512, 399.08
17, -937.374, 511.989, 399.088
18, -937.372, 511.978, 399.098
19, -937.379, 511.976, 399.107
20, -937.366, 511.971, 399.098
21, -937.379, 511.983, 399.099
22, -937.387, 511.986, 399.104
23, -937.387, 511.985, 399.106
24, -937.388, 511.984, 399.107
25, -937.396, 511.982, 399.118
26, -937.399, 511.989, 399.114
27, -937.409, 511.992, 399.121
28, -937.405, 511.986, 399.124
29, -937.4, 511.983, 399.12
30, -937.405, 511.985, 399.125
31, -937.404, 511.984, 399.125
32, -937.405, 511.988, 399.122
33, -937.417, 511.991, 399.129
34, -937.406, 511.983, 399.127
35, -937.398, 511.983, 399.119
36, -937.4, 511.988, 399.115
37, -937.402, 511.987, 399.119
38, -937.394, 511.979, 399.118
39, -937.398, 511.979, 399.123
40, -955.958, 512, 402.22
41, -955.957, 512, 402.219
42, -955.951, 511.997, 402.216
43, -955.948, 511.998, 402.212
44, -955.952, 512, 402.214
45, -955.952, 512, 402.214
46, -955.952, 512, 402.214
47, -955.952, 511.999, 402.214
48, -955.945, 511.993, 402.214
49, -955.935, 511.989, 402.208
